staSeq,locationNa,ylat,xlong,munName,ComID,HydroID,LCODE,maxD,source,holD
"18156",Highland Lake,41.911817999999997,-73.094279999999998,WINCHESTER,"123631518","201490227",HIG,18.8976000000,Fisheries,14.8241852700
"15629",Indian Lake,41.916499999999999,-73.494799999999998,SHARON,"122986106","201491371",IND,,,12.7752032700
"16181",Bissonnette Pond Deep Hole,41.922620999999999,-72.219297999999995,WILLINGTON,"116132018","201487629",BIS,2.2509000000,ABM,5.9769686760
"20764",Crystal Lake,41.925049999999999,-73.103700000000003,WINCHESTER,"123631512","201490066",CRW,12.6000000000,ABM,13.0640380200
"18154",Crystal Lake,41.935882999999997,-72.372335000000007,ELLINGTON,"116129090","201487781",CRY,15.2400000000,Fisheries,17.1900413900
"15639",Wononpakook Lake,41.935899999999997,-73.454899999999995,SALISBURY,"122972812","201490840",WOK,7.6200000000,Fisheries,13.9650989400
"15624",Lake Chaffee,41.939399999999999,-72.195300000000003,ASHFORD,"116131688","201487203",CHF,2.9000000000,ABM,4.0861068590
"16184",Roseland Lake,41.950000000000003,-71.950999999999993,WOODSTOCK,"122365552","201486460",ROS,6.0960000000,Fisheries,7.7859493320
"19760",Deep Lake,41.950671000000000,-73.465604999999996,SALISBURY,,,,24.9000000000,ABM,1.3972232930
"14662",West Thompson Reservoir,41.951999999999998,-71.902400000000000,THOMPSON,"122365526","201486309",WTR,9.7536000000,Fisheries,6.3859611000
"16154",Wononscopomuc Lake,41.955300000000001,-73.444800000000001,SALISBURY,"122972770","201490320",WON,32.9184000000,Fisheries,25.5530059100
"15633",Quaddick Reservoir,41.956499999999998,-71.817499999999995,THOMPSON,"122368038","201486159",QUA,7.6200000000,Fisheries,9.6857865500
"19346",Morey Pond,41.960000000000001,-72.191999999999993,UNION,"116131620","201487174",MOR,3.7250000000,ABM,5.4766148160
"18151",Black Pond,41.969096000000000,-72.067950999999994,WOODSTOCK,"116101800","201486577",BLK,6.7056000000,Fisheries,11.0539260400
"15622",Keach Pond,41.970100000000002,-72.087800000000001,WOODSTOCK,"116101808","201486621",KEC,,,4.1824336190
"15867",Lake Wangum,41.975000000000001,-73.265299999999996,CANAAN,"122973588","201489613",WAN,18.8976000000,Fisheries,10.2805210100
"15871",Somersville Pond,41.982500000000002,-72.487499999999997,SOMERS,"123003055","201487436",SMP,,,0.9350768990
"15617",West Branch Reservoir,41.990299999999998,-73.020899999999997,HARTLAND,"123632840","201488747",WBR,31.0896000000,Fisheries,33.5336396200
"16006",Bigelow Pond,41.992800000000003,-72.131000000000000,UNION,"116131972","201486459",BIG,4.8768000000,Fisheries,4.6526426180
